case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age30-start-rookie-pro-130363-30y,36,2032-06-30,86,90,539648.64,True,82.61,90.4,91.88,83.09,78.87,89.23,91.65,85.72,90.55,77.37,70.02,71.51,78.13,75.03,69.89
age30-start-rookie-pro-130363-30y,37,2033-06-30,87,91,882460.99,True,83.99,91.2,92.64,84.77,80.19,90.13,92.39,86.78,91.13,78.31,70.98,71.99,78.49,75.58,70.49
age30-start-rookie-pro-130363-30y,38,2034-06-30,88,92,1195251.58,True,85.12,91.89,93.38,86.53,81.42,91.06,93.12,87.86,91.72,79.33,71.9,72.45,78.84,76.08,71.06
age30-start-rookie-pro-130363-30y,39,2035-06-30,89,93,1567091.26,True,86.11,92.45,93.92,87.67,82.44,91.71,93.66,88.65,92.17,80.14,72.77,72.88,79.16,76.54,71.61
age30-start-rookie-pro-130363-30y,40,2036-06-30,89,89,2462581.18,True,86.11,92.45,93.92,87.67,82.44,91.71,93.66,88.65,92.17,80.14,72.77,72.88,79.16,76.54,71.61
age30-start-rookie-pro-130363-30y,41,2037-06-30,88,88,3307821.34,True,85.36,91.58,93.02,87.24,82.06,91.71,93.66,88.65,92.17,80.14,71.42,72.01,77.57,75.57,70.3
age30-start-rookie-pro-130363-30y,42,2038-06-30,87,88,4676118.73,True,84.43,90.51,91.92,86.71,81.59,91.71,93.66,88.65,92.17,80.14,69.8,70.94,75.66,74.39,68.73
age30-start-rookie-pro-130363-30y,43,2039-06-30,86,88,5215888.05,True,83.33,89.25,90.62,86.07,81.03,91.71,93.66,88.65,92.17,80.14,67.93,69.68,73.45,73.01,66.91
age30-start-rookie-pro-130363-30y,44,2040-06-30,86,88,5712186.47,True,82.05,87.78,89.11,85.32,80.36,91.71,93.66,88.65,92.17,80.14,65.8,68.22,70.97,71.41,64.85
age30-start-rookie-pro-130363-30y,45,2041-06-30,85,85,5968987.48,True,80.59,86.11,87.38,84.45,79.59,91.71,93.66,88.65,92.17,80.14,63.45,66.58,68.24,69.61,62.57
age30-start-rookie-pro-130363-30y,46,2042-06-30,83,83,6222025.67,True,78.94,84.23,85.44,83.46,78.71,91.71,93.66,88.65,92.17,80.14,60.9,64.75,65.28,67.61,60.08
age30-start-rookie-pro-130363-30y,47,2043-06-30,82,82,6380865.72,True,77.12,82.15,83.31,82.34,77.71,91.63,93.58,88.62,92.17,80.12,58.19,62.76,62.17,65.44,57.44
age30-start-rookie-pro-130363-30y,48,2044-06-30,81,82,6490667.52,False,75.13,79.89,80.98,81.09,76.6,91.45,93.38,88.55,92.17,80.06,55.35,60.62,58.93,63.11,54.68
age30-start-rookie-pro-130363-30y,49,2045-06-30,80,81,6545395.13,False,72.97,77.45,78.47,79.7,75.36,91.13,93.05,88.43,92.17,79.96,52.42,58.33,55.6,60.63,51.82
age30-start-rookie-pro-130363-30y,50,2046-06-30,78,78,6580271.73,False,70.64,74.83,75.79,78.18,74.0,90.64,92.55,88.25,92.17,79.81,49.42,55.92,52.23,58.03,48.89
age30-start-rookie-pro-130363-30y,51,2047-06-30,76,76,6615759.45,False,68.16,72.05,72.93,76.51,72.5,89.96,91.84,87.99,92.17,79.6,46.39,53.39,48.84,55.31,45.92
age30-start-rookie-pro-130363-30y,52,2048-06-30,74,74,6641620.66,False,65.54,69.11,69.92,74.69,70.87,89.05,90.88,87.64,92.17,79.31,43.34,50.77,45.47,52.5,42.94
age30-start-rookie-pro-130363-30y,53,2049-06-30,72,72,6666975.34,False,62.77,66.04,66.78,72.71,69.09,87.86,89.64,87.18,92.17,78.94,40.32,48.08,42.14,49.61,39.97
age30-start-rookie-pro-130363-30y,54,2050-06-30,70,70,6702891.84,False,60.51,63.46,64.23,71.3,67.68,86.76,88.47,86.98,92.34,78.82,37.71,45.53,39.06,46.92,37.29
age30-start-rookie-pro-130363-30y,55,2051-06-30,69,69,6741631.8,False,58.16,60.83,61.7,69.96,66.18,85.42,87.01,86.66,92.54,78.62,35.26,43.04,36.14,44.24,34.75
age30-start-rookie-pro-130363-30y,56,2052-06-30,67,67,6779943.11,False,55.59,57.99,58.83,68.16,64.4,83.61,85.1,86.08,92.68,78.19,32.71,40.44,33.28,41.51,32.18
age30-start-rookie-pro-130363-30y,57,2053-06-30,65,65,6806838.55,False,52.8,54.94,55.79,66.18,62.39,81.62,83.0,85.38,92.82,77.64,30.17,37.81,30.49,38.74,29.64
age30-start-rookie-pro-130363-30y,58,2054-06-30,63,63,6831170.71,False,49.88,51.76,52.61,63.96,60.2,79.5,80.76,84.61,92.96,77.01,27.7,35.16,27.81,35.96,27.17
age30-start-rookie-pro-130363-30y,59,2055-06-30,61,61,6857194.71,False,46.86,48.5,49.31,61.44,57.8,77.07,78.24,83.62,93.09,76.19,25.32,32.52,25.23,33.19,24.79
