case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age15-start-national-youth-104729-30y,2042/43,31,32,27,13,13,1,0,18,141,117800,2521186.52,91,True,World Ranking,23,117800,167221,-1872,0,-122,0,-8026.48,-180,-11830.28
age15-start-national-youth-104729-30y,2043/44,32,33,26,15,11,0,0,23,143,132100,2814968.42,92,True,World Ranking,35,132100,183394,-1872,0,-84,0,-8026.48,-180,-12549.62
age15-start-national-youth-104729-30y,2044/45,33,34,40,27,13,0,1,23,139,212900,3166293.5,92,True,World Ranking,26,212900,142738,-1872,0,-122,0,-8504,-180,5365.08
age15-start-national-youth-104729-30y,2045/46,34,35,32,21,11,0,0,27,135,157250,3464789.38,93,True,World Ranking,22,157250,161679,-1872,0,-122,0,-8026.48,-180,-11232.64
age15-start-national-youth-104729-30y,2046/47,35,36,45,34,10,1,3,34,144,581400,4275033.84,93,True,World Ranking,9,581400,202251,-1872,0,-84,0,-8704.08,0,36253.54
age15-start-national-youth-104729-30y,2047/48,36,37,39,21,15,3,0,23,141,263800,4811444.5,93,True,World Ranking,9,263800,308089,-1872,0,-122,0,-8536.88,-180,-25767.46
age15-start-national-youth-104729-30y,2048/49,37,38,42,27,11,4,0,16,141,287800,5365342.34,93,True,World Ranking,21,287800,298432,-1872,0,-206,0,-7859.28,-180,-23216.88
age15-start-national-youth-104729-30y,2049/50,38,39,30,17,11,2,0,18,139,108200,5750898.11,93,True,World Ranking,31,108200,309369,-1872,0,0,0,-8026.48,-180,-22334.75
age15-start-national-youth-104729-30y,2050/51,39,40,40,30,10,0,1,26,141,246900,6189815.19,93,True,World Ranking,24,246900,195272,-1872,0,-206,0,-8026.48,-360,6209.56
age15-start-national-youth-104729-30y,2051/52,40,41,40,28,9,3,1,30,139,240100,6606254.88,92,True,World Ranking,21,240100,179687,-1872,0,-122,0,-8836,-540,7622.69
