case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age30-start-rookie-pro-104729-30y,45,2041-06-30,85,85,1558186.23,True,81.68,87.01,88.16,84.22,80.15,91.61,93.67,88.59,92.06,80.06,64.81,67.49,69.62,70.62,63.8
age30-start-rookie-pro-104729-30y,46,2042-06-30,84,84,1880806.99,True,80.22,85.36,86.46,83.37,79.38,91.61,93.67,88.59,92.06,80.06,62.52,65.88,66.98,68.86,61.58
age30-start-rookie-pro-104729-30y,47,2043-06-30,83,83,2134423.82,True,78.62,83.54,84.6,82.42,78.51,91.54,93.6,88.56,92.06,80.03,60.09,64.12,64.18,66.94,59.22
age30-start-rookie-pro-104729-30y,48,2044-06-30,82,82,2345843.22,False,76.86,81.56,82.57,81.36,77.55,91.38,93.43,88.5,92.06,79.99,57.53,62.23,61.26,64.87,56.73
age30-start-rookie-pro-104729-30y,49,2045-06-30,80,81,2442699.46,False,74.96,79.42,80.37,80.19,76.49,91.11,93.15,88.4,92.06,79.9,54.86,60.2,58.24,62.67,54.14
age30-start-rookie-pro-104729-30y,50,2046-06-30,79,79,2484911.23,True,72.92,77.13,78.02,78.9,75.32,90.71,92.73,88.25,92.06,79.78,52.13,58.06,55.15,60.35,51.48
age30-start-rookie-pro-104729-30y,51,2047-06-30,77,77,2544783.8,True,70.73,74.68,75.52,77.49,74.03,90.14,92.14,88.04,92.06,79.6,49.34,55.81,52.03,57.92,48.76
age30-start-rookie-pro-104729-30y,52,2048-06-30,76,76,2623652.5,False,68.42,72.1,72.88,75.97,72.64,89.39,91.36,87.75,92.06,79.37,46.52,53.47,48.9,55.39,46.01
age30-start-rookie-pro-104729-30y,53,2049-06-30,74,74,2697193.19,False,65.98,69.39,70.11,74.31,71.12,88.42,90.34,87.38,92.06,79.06,43.7,51.04,45.78,52.79,43.25
age30-start-rookie-pro-104729-30y,54,2050-06-30,73,73,2740425.78,False,63.42,66.56,67.22,72.53,69.49,87.19,89.06,86.9,92.06,78.67,40.89,48.55,42.7,50.13,40.5
age30-start-rookie-pro-104729-30y,55,2051-06-30,70,70,2776498.56,False,60.75,63.63,64.23,70.61,67.73,85.68,87.49,86.3,92.06,78.18,38.12,46.02,39.68,47.43,37.78
age30-start-rookie-pro-104729-30y,56,2052-06-30,68,68,2808227.78,False,58.0,60.6,61.15,68.56,65.85,83.86,85.58,85.55,92.06,77.57,35.41,43.45,36.74,44.7,35.12
age30-start-rookie-pro-104729-30y,57,2053-06-30,67,67,2831145.72,False,55.57,57.95,58.56,67.08,64.2,82.3,83.9,85.07,92.21,77.19,33.02,40.99,33.98,42.09,32.67
age30-start-rookie-pro-104729-30y,58,2054-06-30,64,64,2863414.94,False,53.03,55.16,55.81,65.33,62.39,80.61,82.11,84.51,92.36,76.73,30.66,38.5,31.3,39.46,30.27
age30-start-rookie-pro-104729-30y,59,2055-06-30,63,63,2893661.01,False,50.4,52.29,52.95,63.38,60.42,78.73,80.14,83.83,92.5,76.16,28.35,35.99,28.71,36.83,27.92
age30-start-rookie-pro-104729-30y,60,2056-06-30,60,60,2927239.55,False,47.65,49.33,49.99,61.25,58.28,76.68,78.0,83.04,92.65,75.5,26.07,33.47,26.21,34.21,25.63
age30-start-rookie-pro-130363-30y,30,2026-05-11,72,82,8000,True,65,76,75,58,64,71,75,68,80,66,59,66,74,69,63
age30-start-rookie-pro-130363-30y,31,2027-06-30,77,88,73709.43,True,71.18,82.54,82.92,67.37,69.11,78.7,82.67,74.73,84.72,70.13,62.28,67.64,75.23,71.08,65.05
age30-start-rookie-pro-130363-30y,32,2028-06-30,80,91,165526.99,False,75.09,85.69,86.64,72.68,72.32,82.58,86.01,78.22,86.88,72.26,65.06,69.03,76.27,72.38,66.79
age30-start-rookie-pro-130363-30y,33,2029-06-30,82,94,231664.47,True,77.69,87.55,88.56,75.86,74.34,84.81,87.92,80.62,88.02,73.77,66.49,69.74,76.81,73.25,67.68
age30-start-rookie-pro-130363-30y,34,2030-06-30,84,96,326331.07,True,79.65,88.8,90.02,79.04,76.04,86.56,89.34,82.56,88.99,75.06,67.84,70.42,77.31,73.93,68.52
age30-start-rookie-pro-130363-30y,35,2031-06-30,85,89,449854.36,True,81.28,89.7,91.01,81.21,77.48,87.96,90.53,84.2,89.8,76.22,68.85,70.92,77.69,74.5,69.16
age30-start-rookie-pro-130363-30y,36,2032-06-30,86,90,612883.96,True,82.54,90.4,91.76,82.76,78.66,88.86,91.32,85.25,90.34,77.04,69.95,71.48,78.11,74.98,69.85
age30-start-rookie-pro-130363-30y,37,2033-06-30,86,90,1033161.3,True,83.94,91.2,92.55,84.53,79.98,89.8,92.09,86.35,90.94,78.0,70.92,71.96,78.47,75.53,70.45
age30-start-rookie-pro-130363-30y,38,2034-06-30,87,91,1504514.29,True,84.87,91.78,93.19,86.08,81.05,90.66,92.78,87.36,91.48,78.92,71.78,72.39,78.79,75.95,70.99
age30-start-rookie-pro-130363-30y,39,2035-06-30,88,92,2099873.79,True,85.82,92.3,93.72,87.22,82.09,91.45,93.43,88.34,92.01,79.84,72.61,72.81,79.11,76.39,71.51
age30-start-rookie-pro-130363-30y,40,2036-06-30,89,89,2733888.29,True,86.14,92.47,93.89,87.56,82.44,91.67,93.62,88.61,92.17,80.12,72.97,72.98,79.24,76.55,71.73
age30-start-rookie-pro-130363-30y,41,2037-06-30,88,88,3265164.15,True,85.38,91.6,93.0,87.13,82.06,91.67,93.62,88.61,92.17,80.12,71.62,72.1,77.64,75.58,70.42
age30-start-rookie-pro-130363-30y,42,2038-06-30,87,88,3608066.47,True,84.46,90.54,91.9,86.6,81.59,91.67,93.62,88.61,92.17,80.12,69.99,71.03,75.73,74.4,68.85
age30-start-rookie-pro-130363-30y,43,2039-06-30,86,88,3933385.07,True,83.36,89.28,90.6,85.97,81.03,91.67,93.62,88.61,92.17,80.12,68.1,69.77,73.52,73.02,67.03
age30-start-rookie-pro-130363-30y,44,2040-06-30,86,88,4211425.68,True,82.08,87.81,89.09,85.22,80.36,91.67,93.62,88.61,92.17,80.12,65.97,68.32,71.04,71.42,64.96
age30-start-rookie-pro-130363-30y,45,2041-06-30,85,85,4442423.76,True,80.62,86.14,87.37,84.36,79.59,91.67,93.62,88.61,92.17,80.12,63.61,66.67,68.3,69.63,62.67
age30-start-rookie-pro-130363-30y,46,2042-06-30,83,83,4801343.32,True,78.97,84.26,85.43,83.36,78.71,91.67,93.62,88.61,92.17,80.12,61.05,64.84,65.34,67.63,60.18
age30-start-rookie-pro-130363-30y,47,2043-06-30,82,82,5060016.4,True,77.15,82.18,83.3,82.25,77.71,91.59,93.53,88.58,92.17,80.09,58.32,62.84,62.23,65.46,57.54
age30-start-rookie-pro-130363-30y,48,2044-06-30,81,82,5248134.4,True,75.16,79.92,80.98,81.0,76.6,91.4,93.34,88.51,92.17,80.04,55.48,60.7,58.99,63.13,54.77
age30-start-rookie-pro-130363-30y,49,2045-06-30,80,81,5391116.4,False,73.0,77.48,78.47,79.62,75.37,91.08,93.01,88.39,92.17,79.94,52.53,58.41,55.66,60.65,51.9
